 C O N T R O L   I N F O R M A T I O N

      NUMBER OF NODAL POINTS . . . . . . . (NUMNP)  =        466
      NUMBER OF ELEMENT GROUPS . . . . . . (NUMEG)  =          1
      NUMBER OF LOAD CASES . . . . . . . . (NLCASE) =          1
      SOLUTION MODE  . . . . . . . . . . . (MODEX)  =          1


 D I S P L A C E M E N T S (Final State)

    NODE           X-DISPLACEMENT    Y-DISPLACEMENT    Z-DISPLACEMENT
     103        -1.583488e-03     -1.958081e-04     -6.386598e-05
     104        -1.617930e-03     -2.421674e-04     -6.236340e-05
     105        -1.651570e-03     -2.239291e-04     -6.091088e-05
     106        -1.686766e-03     -1.406674e-04     -5.973206e-05
     107        -1.719988e-03      3.716719e-06     -5.825290e-05
     108        -1.751767e-03      2.038898e-04     -5.845050e-05
     109        -1.785219e-03      4.449559e-04     -5.810495e-05
     110        -1.818825e-03      7.223198e-04     -5.918685e-05
     111        -1.852539e-03      1.017067e-03     -6.229044e-05
     112        -1.887735e-03      1.314525e-03     -6.473905e-05
     113        -1.923490e-03      1.597938e-03     -6.803644e-05
     114        -1.960477e-03      1.852943e-03     -7.139106e-05
     115        -1.998633e-03      2.063158e-03     -7.544888e-05
     116        -2.037735e-03      2.216468e-03     -7.927052e-05
     117        -2.078147e-03      2.303830e-03     -8.289456e-05
     118        -2.119606e-03      2.319425e-03     -8.611527e-05
     119        -2.162169e-03      2.262112e-03     -8.878887e-05
     120        -2.205566e-03      2.134347e-03     -9.062391e-05
     121        -2.249483e-03      1.941855e-03     -9.166618e-05
     122        -2.294086e-03      1.695954e-03     -9.199149e-05
     123        -2.338888e-03      1.408360e-03     -9.141684e-05
     124        -2.383773e-03      1.096636e-03     -8.999331e-05
     125        -2.428523e-03      7.811292e-04     -8.746639e-05
     126        -2.472752e-03      4.791620e-04     -8.472487e-05
     127        -2.515827e-03      2.089918e-04     -8.139642e-05
     128        -2.558743e-03     -1.658558e-05     -7.753696e-05
     129        -2.600872e-03     -1.786878e-04     -7.443479e-05
     130        -2.641522e-03     -2.653718e-04     -7.082726e-05
     131        -2.682106e-03     -2.710804e-04     -6.845021e-05
     132        -2.723158e-03     -1.927253e-04     -6.752531e-05
     133        -2.762881e-03     -3.685582e-05     -6.765794e-05
     134        -2.803706e-03      1.911928e-04     -6.809489e-05
     135        -2.844591e-03      4.820042e-04     -6.930253e-05
     136        -2.886044e-03      8.149064e-04     -7.179587e-05
     137        -2.927193e-03      1.176828e-03     -7.479656e-05
     138        -2.969452e-03      1.546652e-03     -7.905399e-05
     139        -3.012959e-03      1.906150e-03     -8.410321e-05
     140        -3.057195e-03      2.231781e-03     -9.020586e-05
     141        -3.103411e-03      2.510002e-03     -9.560047e-05
     142        -3.150632e-03      2.721185e-03     -1.016209e-04
     143        -3.199106e-03      2.853892e-03     -1.080390e-04
     144        -2.881337e-03      2.289693e-03     -1.006159e-04
     145        -1.346935e-06     -6.997420e-06      9.298525e-07
     146         7.861975e-07     -1.097975e-06      1.896067e-06
     147        -3.339947e-03      1.953170e-03     -9.665475e-05
     148         9.339173e-09      1.373465e-06      3.015397e-06
     149        -3.454286e-03      2.651882e-03     -1.055120e-04
     150        -3.265765e-03      1.687778e-03     -9.014196e-05
     151        -3.331788e-03      2.217497e-03     -1.046555e-04
     152         1.965190e-06     -4.427476e-07      5.474457e-06
     153         1.121962e-06     -1.806542e-06      2.168270e-06
     154        -2.192045e-06     -1.010793e-05     -1.116707e-06
     155         4.788145e-06     -6.344818e-06      9.035230e-06
     156         1.391452e-06     -5.156590e-06      1.633321e-06
     157         7.679875e-06     -1.302081e-05      9.817632e-06
     158        -3.397668e-06     -1.602858e-05     -4.682476e-06
     159         1.386447e-06     -8.581612e-06      8.025854e-07
     160        -9.044922e-06     -2.736756e-05     -1.322339e-05
     161         1.404090e-06     -9.400635e-06     -4.389030e-07
     162         1.322288e-05     -2.700341e-05      1.176669e-05
     163        -1.609612e-05     -2.241257e-05     -2.038417e-05
     164         1.126493e-05     -2.607174e-05      2.612923e-06
     165        -2.481413e-05     -4.935567e-05     -3.087232e-05
     166        -1.555698e-05     -1.336009e-05     -1.965616e-05
     167        -3.636801e-05     -3.882601e-05     -3.782924e-05
     168        -1.747952e-05     -7.778079e-06     -2.094914e-05
     169         1.127670e-05     -1.711387e-05     -3.193644e-06
     170        -1.987745e-05      3.374939e-06     -2.289568e-05
     171        -5.588422e-05     -7.961766e-06     -4.501783e-05
     172        -2.325233e-05      1.676717e-05     -2.519278e-05
     173        -6.734673e-05      1.591673e-05     -4.766807e-05
     174         1.089832e-05      8.099422e-06     -8.260251e-06
     175        -2.918020e-05      4.135783e-05     -2.844183e-05
     176         6.635454e-06      5.556621e-05     -1.439515e-05
     177        -3.299965e-05      6.342347e-05     -3.033808e-05
     178        -9.052422e-05      8.876114e-05     -5.095896e-05
     179        -3.979038e-05      9.374599e-05     -3.282560e-05
     180        -1.049297e-04      1.354419e-04     -4.942840e-05
     181         9.719179e-07      1.127089e-04     -1.941910e-05
     182        -4.936167e-05      1.397570e-04     -3.527367e-05
     183        -1.191126e-04      1.925393e-04     -4.800430e-05
     184        -2.609663e-06      1.668566e-04     -2.515777e-05
     185        -5.916585e-05      1.873956e-04     -3.682480e-05
     186        -1.323344e-04      2.526008e-04     -4.621350e-05
     187        -1.142285e-05      2.533191e-04     -3.044827e-05
     188        -7.133267e-05      2.452613e-04     -3.863498e-05
     189        -1.465258e-04      3.194160e-04     -4.425554e-05
     190        -1.934111e-05      3.203036e-04     -3.469202e-05
     191        -1.459999e-04      3.778637e-04     -4.090104e-05
     192        -5.094120e-05      4.435080e-04     -4.055629e-05
     193        -1.744041e-04      4.842152e-04     -4.101202e-05
     194        -1.384099e-04      4.142788e-04     -4.059469e-05
     195        -5.915761e-05      4.879716e-04     -4.134402e-05
     196        -1.908370e-04      5.122469e-04     -4.030851e-05
     197        -1.380723e-04      4.386829e-04     -4.058023e-05
     198        -2.089234e-04      5.271344e-04     -3.917910e-05
     199        -1.430591e-04      4.493366e-04     -4.024490e-05
     200        -7.838711e-05      5.149678e-04     -4.171809e-05
     201        -1.493680e-04      4.533580e-04     -3.999647e-05
     202        -8.859821e-05      5.050942e-04     -4.092703e-05
     203        -2.225875e-04      4.225235e-04     -4.037910e-05
     204        -1.232463e-04      3.776486e-04     -3.747261e-05
     205        -2.646075e-04      2.826216e-04     -4.509257e-05
     206        -2.844393e-04      1.856570e-04     -4.884602e-05
     207        -1.396922e-04      3.275462e-04     -3.677310e-05
     208        -1.628735e-04      2.948030e-04     -3.764340e-05
     209        -1.465540e-04      1.977656e-04     -3.477129e-05
     210        -1.805018e-04      2.506049e-04     -3.857375e-05
     211        -2.744845e-03      1.714907e-03     -8.282074e-05
     212        -2.678672e-03      1.349737e-03     -7.025840e-05
     213        -3.166319e-03      1.620717e-03     -9.293511e-05
     214        -3.247275e-03      1.313042e-03     -8.974374e-05
     215        -2.757247e-03      1.481722e-03     -7.989576e-05
     216        -2.622772e-03      1.042212e-03     -6.512917e-05
     217        -2.778468e-04      1.543282e-04     -4.884930e-05
     218        -3.305254e-04      1.151986e-05     -5.962776e-05
     219        -1.703023e-04      7.628211e-05     -3.542621e-05
     220        -3.392099e-04      4.016165e-05     -6.084775e-05
     221        -2.069827e-04      9.974201e-06     -4.090406e-05
     222        -3.701892e-04     -7.258056e-05     -6.729706e-05
     223        -3.301880e-04      5.297323e-05     -5.841007e-05
     224        -3.998630e-04     -4.479263e-05     -7.049624e-05
     225        -3.303018e-04      5.851682e-05     -5.810461e-05
     226        -2.231564e-04      1.436986e-05     -4.320556e-05
     227        -3.302004e-04      7.672366e-05     -5.769765e-05
     228        -4.402520e-04      3.545283e-05     -7.133836e-05
     229        -3.402548e-04      1.078874e-04     -5.874135e-05
     230        -4.613171e-04      1.014120e-04     -7.047300e-05
     231        -2.370491e-04      7.628690e-05     -4.642665e-05
     232        -3.537573e-04      1.654982e-04     -5.920525e-05
     233        -2.578973e-04      2.008679e-04     -4.940159e-05
     234        -3.646458e-04      2.163080e-04     -5.961246e-05
     235        -5.030649e-04      2.890415e-04     -6.753722e-05
     236        -3.797056e-04      2.886160e-04     -5.994726e-05
     237        -5.250003e-04      4.001362e-04     -6.310280e-05
     238        -2.775081e-04      3.426534e-04     -5.168064e-05
     239        -3.995218e-04      3.900121e-04     -5.978104e-05
     240        -5.476385e-04      5.278198e-04     -5.923667e-05
     241        -2.927195e-04      4.675327e-04     -5.554219e-05
     242        -4.187389e-04      4.894759e-04     -5.920114e-05
     243        -5.687731e-04      6.501463e-04     -5.550684e-05
     244        -3.163477e-04      6.479199e-04     -5.818898e-05
     245        -4.422476e-04      6.050479e-04     -5.861304e-05
     246        -5.916255e-04      7.744464e-04     -5.225523e-05
     247        -3.352073e-04      7.724476e-04     -6.033750e-05
     248        -5.843190e-04      8.377151e-04     -5.161348e-05
     249        -3.973113e-04      9.355153e-04     -6.219838e-05
     250        -6.560097e-04      9.384193e-04     -4.848082e-05
     251        -6.870804e-04      1.030430e-03     -4.826602e-05
     252        -4.297071e-04      1.080993e-03     -6.090129e-05
     253        -4.717943e-04      9.020496e-04     -5.955735e-05
     254        -4.457279e-04      1.012673e-03     -6.146697e-05
     255        -5.046855e-04      8.841629e-04     -5.821650e-05
     256        -6.734728e-04      8.234690e-04     -5.079883e-05
     257        -7.522637e-04      7.752260e-04     -5.243889e-05
     258        -4.931927e-04      7.817626e-04     -5.962468e-05
     259        -7.589948e-04      6.123381e-04     -5.633347e-05
     260        -5.557705e-04      4.706922e-04     -5.844229e-05
     261        -7.976231e-04      4.625606e-04     -6.238893e-05
     262        -7.413718e-04      4.786830e-04     -6.040732e-05
     263        -5.677142e-04      3.328247e-04     -6.075604e-05
     264        -8.374425e-04      3.116627e-04     -6.714240e-05
     265        -7.365728e-04      3.714148e-04     -6.194966e-05
