 C O N T R O L   I N F O R M A T I O N

      NUMBER OF NODAL POINTS . . . . . . . (NUMNP)  =        845
      NUMBER OF ELEMENT GROUPS . . . . . . (NUMEG)  =          1
      NUMBER OF LOAD CASES . . . . . . . . (NLCASE) =          1
      SOLUTION MODE  . . . . . . . . . . . (MODEX)  =          1


 D I S P L A C E M E N T S (Final State)

    NODE           X-DISPLACEMENT    Y-DISPLACEMENT    Z-DISPLACEMENT
     108         1.435838e-05      5.981875e-07     -3.067527e-06
     109         7.999661e-06      7.998316e-06     -6.297029e-08
     110         1.941831e-06      7.659485e-06      3.336872e-06
     111        -1.921320e-06      3.369721e-06      5.985393e-06
     112        -2.004295e-06     -2.257646e-06      6.221155e-06
     113        -1.368015e-06      6.466521e-07      6.849933e-06
     114         6.028271e-06      8.458375e-06      1.526911e-06
     115         1.086371e-05     -6.803338e-06      1.462807e-08
     116         1.221401e-05     -5.279899e-06     -1.541064e-06
     117         9.870993e-06     -2.982546e-06      9.305227e-07
     118         9.255689e-06     -7.087593e-06      2.100048e-06
     119         5.104328e-06     -6.469258e-06      4.168096e-06
     120         1.166884e-06     -4.571371e-06      5.722596e-06
     121         5.082516e-06     -3.015199e-06      2.959733e-06
     122         2.909581e-06      2.007475e-06      4.177991e-06
     123         1.276999e-06      5.987261e-06      5.300382e-06
     124         7.939700e-06      4.328981e-06      8.391646e-07
     125         1.241841e-05      6.364536e-06     -1.954907e-06
     126         1.563345e-05     -2.303124e-06     -3.321469e-06
     127         1.024816e-05     -8.643181e-07     -3.780043e-07
     128         5.044341e-06      5.393015e-07      1.959093e-06
     129         1.562831e-05      3.833532e-06     -3.397029e-06
     130         1.210727e-05      2.234345e-06     -8.214764e-07
     131         1.761894e-05      7.330556e-07     -4.185876e-06
     132         1.079533e-05      8.150683e-06     -4.688429e-07
     133         1.558159e-05      6.645791e-06     -2.751043e-06
     134         6.921228e-06      4.308600e-06      2.765544e-06
     135         4.978445e-06      7.743643e-06      3.701559e-06
     136         1.011073e-06      3.408949e-06      7.026631e-06
     137         4.489231e-06      6.007328e-06      6.149556e-06
     138         4.833751e-06     -6.968672e-07      4.528122e-06
     139         1.094901e-06     -2.040636e-06      7.125977e-06
     140         4.698625e-06     -4.610313e-06      6.377212e-06
     141         1.933328e-06      7.942836e-07      7.848975e-06
     142         1.576677e-05     -4.906172e-06     -2.510047e-06
     143         9.286858e-06      8.606763e-06      1.555256e-06
     144         1.897743e-05      4.075380e-06     -4.377225e-06
     145         1.459547e-05     -6.497024e-06     -5.907646e-07
     146         8.757940e-06     -6.321144e-06      4.476210e-06
     147         1.126159e-05     -3.101682e-06      1.949749e-06
     148         1.313781e-05     -6.912464e-06      2.056925e-06
     149         1.534414e-05      8.233881e-07     -1.450779e-06
     150         2.137091e-05      8.983006e-07     -5.169132e-06
     151         1.919608e-05     -2.141629e-06     -4.297598e-06
     152         8.735392e-06      7.320933e-07      1.840418e-06
     153         1.947690e-05      6.760157e-06     -3.391932e-06
     154         8.414739e-06      7.928420e-06      4.188034e-06
     155         1.125589e-05      4.766538e-06      1.637063e-06
     156         1.441278e-05      8.303089e-06     -9.016857e-07
     157         7.480335e-06      8.769860e-07      5.045634e-06
     158         8.419807e-06      6.203355e-06      6.667115e-06
     159         4.574043e-06      3.549048e-06      7.899942e-06
     160         4.560543e-06     -2.070710e-06      7.953225e-06
     161         8.558648e-06     -4.455193e-06      6.858078e-06
     162         5.704395e-06      9.387191e-07      8.713754e-06
     163         1.963655e-05     -4.719714e-06     -3.134327e-06
     164         1.317619e-05      8.750097e-06      1.488453e-06
     165         1.936708e-05      1.001920e-06     -1.945065e-06
     166         2.318579e-05      4.246830e-06     -5.264764e-06
     167         2.391312e-05      6.867410e-06     -4.018093e-06
     168         2.330247e-05     -1.964206e-06     -5.185380e-06
     169         2.570046e-05      1.054407e-06     -6.161438e-06
     170         1.291485e-05     -6.129615e-06      4.686907e-06
     171         1.535525e-05     -2.895106e-06      1.881787e-06
     172         1.748315e-05     -6.742528e-06      1.954108e-06
     173         1.875813e-05     -6.381210e-06     -9.404339e-07
     174         1.331225e-05      9.255500e-07      1.730307e-06
     175         1.539897e-05      4.905868e-06      1.589661e-06
     176         1.268445e-05      8.030151e-06      4.407559e-06
     177         1.858372e-05      8.459580e-06     -1.238648e-06
     178         1.286337e-05      6.405068e-06      7.083539e-06
     179         8.711928e-06      3.680072e-06      8.656982e-06
     180         1.155530e-05      9.932136e-07      5.417101e-06
     181         8.761719e-06     -1.850006e-06      8.710530e-06
     182         1.286841e-05     -4.256379e-06      7.396290e-06
     183         1.004643e-05      1.083718e-06      9.566985e-06
     184         2.397855e-05     -4.618168e-06     -3.687152e-06
     185         1.752854e-05      8.906110e-06      1.449741e-06
     186         2.779991e-05      4.252837e-06     -6.072855e-06
     187         2.344863e-05     -3.107093e-07     -2.086116e-06
     188         2.801268e-05     -1.806719e-06     -6.028105e-06
     189         3.052058e-05      1.190207e-06     -7.012840e-06
     190         2.326592e-05     -6.183580e-06     -1.244527e-06
     191         1.832822e-05     -2.464169e-06      3.278463e-06
     192         2.227968e-05     -6.595521e-06      1.934905e-06
     193         1.753850e-05     -5.967536e-06      4.907125e-06
     194         2.116190e-05      4.831226e-06      7.564676e-08
     195         2.318046e-05      8.609893e-06     -1.583960e-06
     196         2.876127e-05      7.022514e-06     -4.663569e-06
     197         1.900429e-05      1.126140e-06      1.682220e-06
     198         1.731999e-05      8.295869e-06      4.578207e-06
     199         1.613654e-05      2.517851e-06      5.454122e-06
