 C O N T R O L   I N F O R M A T I O N

      NUMBER OF NODAL POINTS . . . . . . . (NUMNP)  =        126
      NUMBER OF ELEMENT GROUPS . . . . . . (NUMEG)  =          2
      NUMBER OF LOAD CASES . . . . . . . . (NLCASE) =          1
      SOLUTION MODE  . . . . . . . . . . . (MODEX)  =          1


 D I S P L A C E M E N T S (Final State)

    NODE           X-DISPLACEMENT    Y-DISPLACEMENT    Z-DISPLACEMENT
     104         1.819998e-03     -1.205488e-02     -3.484957e-17
     105        -4.967599e-03     -1.200658e-02      8.371867e-03
     106        -4.967599e-03     -1.200658e-02     -8.371867e-03
     107         1.854628e-03     -1.051473e-02     -2.469331e-17
     108         1.854628e-03     -1.051473e-02     -2.467452e-17
     109         1.889253e-03     -8.647604e-03     -1.698250e-17
     110         1.889253e-03     -8.647604e-03     -1.704380e-17
     111         1.923883e-03     -6.298000e-03     -7.868336e-18
     112         1.923883e-03     -8.269639e-03     -7.868212e-18
     113         1.923883e-03     -8.269639e-03     -7.868088e-18
     114         1.923883e-03     -6.298000e-03     -7.867964e-18
     115        -5.705463e-03     -6.269667e-03      6.622375e-03
     116        -5.705463e-03     -6.269667e-03     -6.622375e-03
     117         1.935834e-03     -3.737655e-03     -8.962531e-19
     118         1.935834e-03     -3.737655e-03     -8.013856e-19
     119         1.947783e-03     -1.243301e-03      4.260556e-19
     120         1.947783e-03     -1.243301e-03      4.734516e-19
     121         1.959734e-03      0.000000e+00      0.000000e+00
     122         1.959734e-03      0.000000e+00      0.000000e+00
     123         1.959734e-03      0.000000e+00      0.000000e+00
     124         1.959734e-03      0.000000e+00      0.000000e+00
     125        -5.944982e-03     -7.103577e-05      0.000000e+00
     126        -5.944982e-03     -7.103577e-05      0.000000e+00

 S O L U T I O N   T I M E   L O G (SEC)

     TOTAL TIME . . . . . . . . . . . . . . . . . . =       0.01
